,path,index,x,y,v
0,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/4/img_0.png,0,601,643,51.0
1,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/4/img_1.png,1,826,271,35.0
2,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/4/img_2.png,2,400,198,35.0
3,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/4/img_3.png,3,400,197,37.0
4,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/4/img_4.png,4,402,197,35.0
5,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/4/img_5.png,5,831,281,35.0
6,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/4/img_6.png,6,826,264,35.0
7,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/4/img_7.png,7,724,476,126.0
8,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/4/img_8.png,8,728,452,253.0
9,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/4/img_9.png,9,400,202,37.0
10,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/4/img_10.png,10,400,199,39.0
11,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/4/img_11.png,11,400,199,37.0
12,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/4/img_12.png,12,826,269,35.0
13,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/4/img_13.png,13,729,329,250.0
14,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/4/img_14.png,14,400,198,35.0
15,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/4/img_15.png,15,404,199,35.0
16,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/4/img_16.png,16,400,199,36.0
17,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/4/img_17.png,17,710,228,241.0
18,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/4/img_18.png,18,400,201,35.0
19,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/4/img_19.png,19,693,179,195.0
20,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/4/img_20.png,20,683,156,189.0
21,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/4/img_21.png,21,400,200,35.0
22,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/4/img_22.png,22,666,120,36.0
23,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/4/img_23.png,23,683,142,218.0
24,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/4/img_24.png,24,400,201,37.0
25,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/4/img_25.png,25,400,201,37.0
26,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/4/img_26.png,26,725,212,222.0
27,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/4/img_27.png,27,732,238,206.0
28,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/4/img_28.png,28,400,201,36.0
29,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/4/img_29.png,29,748,289,105.0
30,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/4/img_30.png,30,756,313,252.0
31,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/4/img_31.png,31,826,271,36.0
32,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/4/img_32.png,32,765,365,95.0
